rental_id,duration,bike_id,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name
2867,538,12705,2022-01-01 07:19:07,67,Castle Court,2022-01-01 07:10:09,103,Park Circus
1838,858,8940,2022-01-01 10:23:24,66,Earl Square,2022-01-01 10:09:06,156,North Way
257,885,3748,2022-01-01 12:41:34,319,Rose Street,2022-01-01 12:26:49,319,Rose Street
3545,1648,14910,2022-01-01 22:01:11,673,Tower Gardens,2022-01-01 21:33:43,92,Castle Passage
47,2982,7747,2022-01-02 00:48:43,585,Bond Court,2022-01-01 23:59:01,585,Bond Court
4407,1702,3589,2022-01-02 14:05:36,584,High Gate,2022-01-02 13:37:14,777,South Bridge
24,934,6975,2022-01-02 15:34:38,787,Albert Square,2022-01-02 15:19:04,426,14 Church Gardens
1741,782,171,2022-01-02 16:22:28,445,King Circus,2022-01-02 16:09:26,138,49 George Embankment
2945,1045,8034,2022-01-02 16:54:05,66,Earl Square,2022-01-02 16:36:40,66,Earl Square
1947,355,7605,2022-01-02 17:03:21,414,Dock Way,2022-01-02 16:57:26,793,17 Bridge Avenue
1507,303,14215,2022-01-02 22:00:08,396,Bond Road,2022-01-02 21:55:05,396,Bond Road
4002,262,10579,2022-01-03 08:55:50,488,28 Mill Circus,2022-01-03 08:51:28,591,Baker Circus
1679,99,6442,2022-01-03 12:02:50,249,North Road,2022-01-03 12:01:11,143,29 Dock Way
1870,351,5414,2022-01-03 12:18:57,151,Market Row,2022-01-03 12:13:06,66,Earl Square
1045,353,4296,2022-01-03 13:22:48,656,Old Row,2022-01-03 13:16:55,565,Crown Circus
733,1441,14529,2022-01-03 21:34:25,604,North Road,2022-01-03 21:10:24,31,Earl Place
2429,497,8754,2022-01-03 22:03:26,55,47 Albert Terrace,2022-01-03 21:55:09,514,14 Market Gardens
1249,2733,12386,2022-01-04 07:27:31,611,Crown Gate,2022-01-04 06:41:58,611,Crown Gate
2822,873,12729,2022-01-04 08:10:38,484,Church Embankment,2022-01-04 07:56:05,565,Crown Circus
576,1428,10905,2022-01-04 08:52:13,337,Fleet Circus,2022-01-04 08:28:25,337,Fleet Circus
4690,349,2729,2022-01-04 08:46:33,616,46 Market Lane,2022-01-04 08:40:44,564,Mill Embankment
3048,5242,591,2022-01-04 21:19:27,395,33 Station Passage,2022-01-04 19:52:05,582,Queen Street
725,218,13510,2022-01-05 07:21:13,50,Prince Passage,2022-01-05 07:17:35,50,Prince Passage
3839,371,6629,2022-01-05 08:17:02,517,Old Lane,2022-01-05 08:10:51,517,Old Lane
2746,438,12815,2022-01-05 08:25:04,117,Church Way,2022-01-05 08:17:46,388,20 Queen Gardens
2443,344,10422,2022-01-05 09:04:55,290,East Walk,2022-01-05 08:59:11,396,Bond Road
2492,395,5029,2022-01-05 12:04:35,793,17 Bridge Avenue,2022-01-05 11:58:00,793,17 Bridge Avenue
3758,189,1053,2022-01-05 12:22:51,206,Globe Terrace,2022-01-05 12:19:42,520,49 Rose Avenue
181,554,8903,2022-01-05 14:31:26,348,14 Great Circus,2022-01-05 14:22:12,418,10 North Bridge
3908,1140,4773,2022-01-05 17:50:57,61,Dock Street,2022-01-05 17:31:57,298,Green Bridge
4372,544,10711,2022-01-05 20:20:11,626,East Mews,2022-01-05 20:11:07,375,Baker Lane
4756,422,13234,2022-01-06 13:53:19,611,Crown Gate,2022-01-06 13:46:17,511,8 Park Square
841,3512,6355,2022-01-06 19:00:47,294,Victoria Passage,2022-01-06 18:02:15,294,Victoria Passage
3727,5173,6187,2022-01-06 21:00:06,220,Queen Avenue,2022-01-06 19:33:53,761,Bridge Passage
1103,1422,7801,2022-01-06 20:30:01,763,Hill Terrace,2022-01-06 20:06:19,317,30 Oxford Place
204,524,12572,2022-01-06 21:56:18,640,High Passage,2022-01-06 21:47:34,424,King Mews
2960,1251,8093,2022-01-07 05:34:10,784,Temple Court,2022-01-07 05:13:19,346,4 Tower Avenue
4946,1870,13445,2022-01-07 08:18:31,419,Market Place,2022-01-07 07:47:21,628,North Gardens
2667,653,4453,2022-01-07 13:49:17,8,Mill Row,2022-01-07 13:38:24,187,Manor Walk
4676,287,9080,2022-01-07 14:08:06,25,Albert Gardens,2022-01-07 14:03:19,757,Strand Street
3792,1905,8603,2022-01-07 15:41:38,323,George Walk,2022-01-07 15:09:53,323,George Walk
1240,1138,7368,2022-01-07 15:59:21,137,11 Manor Terrace,2022-01-07 15:40:23,493,West Way
3398,533,9118,2022-01-07 17:48:24,565,Crown Circus,2022-01-07 17:39:31,184,Great Mews
4779,552,4377,2022-01-07 18:51:09,597,King Gardens,2022-01-07 18:41:57,597,King Gardens
4715,1913,14059,2022-01-07 19:23:29,636,16 Long Gardens,2022-01-07 18:51:36,609,Station Row
1716,426,14913,2022-01-07 20:21:24,499,Bridge Street,2022-01-07 20:14:18,426,14 Church Gardens
296,340,8938,2022-01-08 08:35:07,588,21 Water Terrace,2022-01-08 08:29:27,206,Globe Terrace
2094,860,3883,2022-01-08 15:40:00,23,4 Fleet Square,2022-01-08 15:25:40,494,Strand Gardens
3211,3249,12991,2022-01-08 18:43:12,598,George Square,2022-01-08 17:49:03,598,George Square
3214,1180,13437,2022-01-08 18:44:57,264,8 Queen Circus,2022-01-08 18:25:17,355,New Lane
4778,618,10491,2022-01-08 19:53:35,196,North Circus,2022-01-08 19:43:17,154,Station Row
1195,245,3104,2022-01-09 12:01:24,328,Bond Passage,2022-01-09 11:57:19,328,Bond Passage
1275,410,9971,2022-01-09 15:54:01,570,33 Prince Place,2022-01-09 15:47:11,424,King Mews
2435,946,1037,2022-01-09 20:10:01,679,29 New Bridge,2022-01-09 19:54:15,132,Temple Gardens
4027,210,2330,2022-01-10 07:25:00,72,Station Terrace,2022-01-10 07:21:30,450,West Gate
849,3359,4111,2022-01-10 08:26:16,368,34 King Way,2022-01-10 07:30:17,566,Broad Gate
3780,1874,14663,2022-01-10 09:13:00,47,Old Gate,2022-01-10 08:41:46,47,Old Gate
443,613,350,2022-01-10 09:23:13,522,George Gardens,2022-01-10 09:13:00,450,West Gate
2719,453,9811,2022-01-10 16:31:37,426,14 Church Gardens,2022-01-10 16:24:04,103,Park Circus
2582,2850,2097,2022-01-10 17:36:57,652,South Square,2022-01-10 16:49:27,445,King Circus
2856,1779,12821,2022-01-10 20:06:01,8,Mill Row,2022-01-10 19:36:22,8,Mill Row
1141,674,8350,2022-01-10 20:20:16,8,Mill Row,2022-01-10 20:09:02,8,Mill Row
3051,735,14225,2022-01-10 22:17:58,403,Green Gardens,2022-01-10 22:05:43,698,Victoria Place
3626,936,333,2022-01-11 07:26:02,638,Bridge Road,2022-01-11 07:10:26,638,Bridge Road
3538,129,8432,2022-01-11 07:21:02,618,Cross Bridge,2022-01-11 07:18:53,103,Park Circus
110,158,5539,2022-01-11 09:29:29,607,25 George Street,2022-01-11 09:26:51,607,25 George Street
4879,1057,11977,2022-01-11 09:49:24,752,South Row,2022-01-11 09:31:47,698,Victoria Place
364,343,3421,2022-01-11 10:33:46,607,25 George Street,2022-01-11 10:28:03,607,25 George Street
4097,574,11289,2022-01-11 13:35:41,21,9 High Avenue,2022-01-11 13:26:07,295,North Row
2913,377,10623,2022-01-11 16:00:31,93,17 Old Walk,2022-01-11 15:54:14,331,East Walk
4058,493,5556,2022-01-11 16:55:31,425,Queen Circus,2022-01-11 16:47:18,315,Market Court
3276,535,11206,2022-01-11 17:49:45,295,North Row,2022-01-11 17:40:50,655,3 Church Court
2580,1706,11272,2022-01-11 18:15:46,23,4 Fleet Square,2022-01-11 17:47:20,732,Victoria Road
2399,304,10257,2022-01-11 20:15:48,589,Green Street,2022-01-11 20:10:44,699,Globe Gate
2106,1061,2203,2022-01-11 21:07:41,293,Bridge Gate,2022-01-11 20:50:00,293,Bridge Gate
